Galaxy Name,Fit Model,Re,Rs,i_bulge,i_disk,q_bulge,q_disk,z,Magnitude,n,Class
iPTF16axa,Sersic,9.11±0.34,--,54.5,--,0.58±0.01,--,0.108,17.67±0.02,3.16±0.11,H+He
ASASSN15oi,Sersic,9.03±0.09,--,60.0,--,0.50±0.00,--,0.0484,16.39±0.01,1.80±0.02,H+He
iPTF15af,Sersic,8.28±0.24,--,36.9,--,0.80±0.01,--,0.079,17.24±0.02,3.90±0.09,H+He
ASASSN14li,Sersic+exp,3.75±0.02,17.67±0.55,42.3,35.9,0.74±0.00,0.81±0.01,0.0206,14.98±0.02,2.26±0.02,H+He
ASASSN14ae,Sersic+psf,11.23±0.11,--,78.5,--,0.20±0.00,--,0.0436,16.11±0.01,2.63±0.07,H+He
LSQ12dyw,Sersic,1.90±0.05,--,28.4,--,0.88±0.02,--,0.09,18.47±0.01,2.43±0.20,H+He
PS1-10jh,Sersic,1.18±0.20,--,80.8,--,0.16±0.26,--,0.17,20.55±0.02,2.15±1.31,He
PTF09djl,Sersic,0.65±0.08,--,43.1,--,0.73±0.10,--,0.184,19.31±0.03,4.11±1.48,H
PTF09ge,Sersic+exp,0.98±0.05,6.64±0.07,30.7,55.2,0.86±0.04,0.57±0.00,0.064,16.87±0.02,1.02±0.35,H+He
AT2017gge,2Sersic+exp,1.26±0.04,13.30±0.16,31.8,75.5,0.85±0.03,0.25±0.00,0.066,15.99±0.03,2.08±0.29,H
AT2019qiz,2Sersic+exp,5.29±0.07,31.15±0.19,37.8,31.8,0.79±0.01,0.85±0.00,0.151,13.90±0.01,1.69±0.03,H+He
AT2024tvd,Sersic+psf,33.00±0.34,,58.0,,0.53±0.00,,0.0449,14.29±0.02,6.05±0.05,H+He
AT2023rvb,Sersic+psf,16.61±0.13,,41.4,,0.75±0.01,,0.0815,16.46±0.03,0.60±0.01,H+He
AT2023mhs,Sersic+exp,5.12±0.11,15.45±3.11,33.9,33.9,0.83±0.00,0.83±0.00,0.0482,16.23±0.09,1.17±0.03,H+He
AT2016fnl,Sersic+ex+ps,4.39±0.03,17.44±0.05,71.9,79.6,0.31±0.00,0.18±0.00,0.16328,14.63±0.02,1.44±0.04,H+He
AT2022bdw,Sersic+psf,21.42±0.05,,32.9,,0.84±0.00,,0.03782,14.85±0.00,1.05±0.00,H+He
AT2022dyt,Sersic+exp,3.75±0.35,7.81±0.03,85.4,52.4,0.08±0.01,0.61±0.00,0.072,16.04±0.05,5.26±0.38,H
AT2024gxr,Sersic+psf,12.89±0.04,,29.5,,0.87±0.00,,0.051,15.36±0.01,0.90±0.01,He
AT2024yqo,2Sersic+exp,10.18±1.29,19.16±0.48,70.1,23.1,0.34±0.00,0.92±0.02,0.06168,15.24±0.09,5.07±0.34,H+He
AT2023clx,2Sersic+exp,6.35±0.07,20.59±0.09,82.0,50.2,0.14±0.01,0.64±0.00,0.01107,13.35±0.02,0.98±0.04,H+He
